"; PTT 227150, Serial 21P1324, Run 6 - 0.25&deg; Grid Size @ 05-Jan-2024 05:25"
"; Marine @ 1.75 meters/second, Model Score 88.14"
"; 3 Status Clock Corrections, 652 Twilights, 27 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
,227150,06-Dec-2022 02:24:00,-31.775,159.375,User,,,,,,41.9582609018861,,
,227150,06-Dec-2022 12:00:00,-31.725,159.375,None,,,,,,,,
,227150,07-Dec-2022 00:00:00,-31.675,159.375,None,,,,,,,06-Dec-2022 18:09:51,07-Dec-2022 08:17:52
,227150,07-Dec-2022 08:12:30,-31.65,159.375,Light - Dusk,,,48,2079,,98.6751399773288,,
,227150,07-Dec-2022 12:00:00,-31.65,159.375,None,,,,,,,,
,227150,07-Dec-2022 17:37:30,-31.65,159.375,Light - Dawn,,,48,2079,,79.6349077085069,,
,227150,08-Dec-2022 00:00:00,-31.625,159.375,None,,,,,,,07-Dec-2022 18:10:04,08-Dec-2022 08:18:30
,227150,08-Dec-2022 07:50:00,-31.625,159.4,Light - Dusk,,,48,2079,,94.4316962252473,,
,227150,08-Dec-2022 12:00:00,-31.6,159.4,None,,,,,,,,
,227150,08-Dec-2022 17:27:30,-31.6,159.4,Light - Dawn,,,48,2079,,96.1599278547612,,
,227150,09-Dec-2022 00:00:00,-31.6,159.425,None,,,,,,,08-Dec-2022 18:10:03,09-Dec-2022 08:18:59
,227150,09-Dec-2022 08:11:15,-31.575,159.45,Light - Dusk,,,48,2079,,97.1516237785744,,
,227150,09-Dec-2022 12:00:00,-31.575,159.45,None,,,,,,,,
,227150,09-Dec-2022 17:26:15,-31.55,159.475,Light - Dawn,,,80,2079,,93.4540908200687,,
,227150,10-Dec-2022 00:00:00,-31.55,159.475,None,,,,,,,09-Dec-2022 18:10:07,10-Dec-2022 08:19:24
,227150,10-Dec-2022 07:51:15,-31.525,159.5,Light - Dusk,,,48,2038,,95.8352831244829,,
,227150,10-Dec-2022 12:00:00,-31.525,159.525,None,,,,,,,,
,227150,10-Dec-2022 17:16:15,-31.525,159.525,Light - Dawn,,,80,2038,,93.1698890614331,,
,227150,11-Dec-2022 00:00:00,-31.5,159.55,None,,,,,,,10-Dec-2022 18:10:07,11-Dec-2022 08:19:42
