"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",227150,24135,,,,,,,152,SR,,401650000,12/10/2023 18:25:45,1,2,0,-132,401650000,,,,,,,,,,,,150,201,171,18,0,129,12,172,161,44,44,225,107,236,225,219,171,192,7,,,,,,,,,,,,,
"",227150,24135,,,,,,,152,SR,,401650000,12/10/2023 18:28:17,1,2,0,-132,401650000,,,,,,,,,,,,234,101,59,18,1,134,193,217,21,131,149,188,236,60,32,,,,,,,,,,,,,,,,,
"",227150,24135,-32.04046,158.12213,3,12/10/2023 19:31:40,Argos,0,320,A1,,401677677.52,12/10/2023 19:29:00,1,5,0,-127,401677677.52,158.12213,-32.04046,164.46394,-30.8974,60,1,154,558,42,83,241,226,87,235,20,10,4,128,220,231,129,206,4,64,238,234,129,78,132,96,232,238,131,83,5,28,66,213,110,7,115,247,
"",227150,24135,-32.04046,158.12213,3,12/10/2023 19:31:40,Argos,0,320,A1,,401677677.52,12/10/2023 19:30:40,1,5,0,-127,401677677.52,158.12213,-32.04046,164.46394,-30.8974,60,1,154,558,42,83,241,19,126,139,28,0,70,209,36,64,175,78,240,0,0,0,,,,,,,,,,,,,,,,,
"",227150,24135,-32.04046,158.12213,3,12/10/2023 19:31:40,Argos,0,320,A1,,401677677.52,12/10/2023 19:32:18,1,5,0,-127,401677677.52,158.12213,-32.04046,164.46394,-30.8974,60,1,154,558,42,83,241,14,27,10,103,138,156,4,254,140,128,40,33,188,53,0,85,75,46,31,37,138,162,248,210,57,143,160,,,,,
"",227150,24135,-32.04046,158.12213,3,12/10/2023 19:31:40,Argos,0,320,A1,,401677677.52,12/10/2023 19:33:18,1,5,0,-127,401677677.52,158.12213,-32.04046,164.46394,-30.8974,60,1,154,558,42,83,241,149,35,43,28,0,129,44,173,1,76,77,33,140,45,33,204,108,128,0,,,,,,,,,,,,,
"",227150,24135,-32.04046,158.12213,3,12/10/2023 19:31:40,Argos,0,320,A1,,401677677.52,12/10/2023 19:34:20,1,5,0,-127,401677677.52,158.12213,-32.04046,164.46394,-30.8974,60,1,154,558,42,83,241,236,89,107,28,1,134,249,217,213,187,177,200,241,67,0,,,,,,,,,,,,,,,,,
"",227150,24135,-32.04517,158.11467,B,12/10/2023 19:51:20,Argos,0,147,NK,,401677677.52,12/10/2023 19:50:07,1,2,0,-131,401677677.52,158.11467,-32.04517,176.46754,-35.74895,6,1,0,0,0,95,585,25,214,91,32,0,70,209,36,64,175,53,36,0,0,0,,,,,,,,,,,,,,,,,
"",227150,24135,-32.04517,158.11467,B,12/10/2023 19:51:20,Argos,0,147,NK,,401677677.52,12/10/2023 19:52:34,1,2,0,-131,401677677.52,158.11467,-32.04517,176.46754,-35.74895,6,1,0,0,0,95,585,147,133,11,32,0,97,76,77,1,108,13,1,204,44,128,,,,,,,,,,,,,,,,,
"",227150,24135,-32.04758,158.11544,2,12/10/2023 20:06:54,Argos,0,238,SR,,401677677.78,12/10/2023 20:04:55,1,4,0,-124,401677677.78,158.11544,-32.04758,146.75958,-34.33301,58,4,349,632,192,61,360,230,234,91,34,1,134,194,26,149,163,173,204,239,69,0,,,,,,,,,,,,,,,,,
