"; PTT 227151, Serial 21P1325, Run 15 - 0.25&deg; Grid Size @ 12-Jul-2022 05:47"
"; Marine @ 2.25 meters/second, Model Score 68.76"
"; 3 Status Clock Corrections, 167 Twilights, 6 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
,227151,24-Mar-2022 23:05:00,-34.075,151.375,User,,,,,,42.070455418781,,
,227151,25-Mar-2022 00:00:00,-34.075,151.375,None,,,,,,,24-Mar-2022 20:01:05,25-Mar-2022 07:59:31
,227151,25-Mar-2022 07:37:30,-34.15,151.35,Light - Dusk,,,48,430,,88.1995764943602,,
,227151,25-Mar-2022 12:00:00,-34.275,151.325,None,,,,,,,,
,227151,25-Mar-2022 13:00:00,-34.275,151.325,SST,23.7,23.7120834986369,8,1601,,86.4812454106689,,
,227151,25-Mar-2022 19:13:45,-34.35,151.25,Light - Dawn,,,48,221,,66.3693915628909,,
,227151,26-Mar-2022 00:00:00,-34.4,151.225,None,,,,,,,25-Mar-2022 20:02:30,26-Mar-2022 07:58:41
,227151,26-Mar-2022 07:20:00,-34.475,151.175,Light - Dusk,,,48,221,,29.4352225632282,,
,227151,26-Mar-2022 12:00:00,-34.525,151.2,None,,,,,,,,
,227151,26-Mar-2022 19:20:00,-34.6,151.225,Light - Dawn,,,48,705,,99.0153404677672,,
,227151,27-Mar-2022 00:00:00,-34.625,151.25,None,,,,,,,26-Mar-2022 20:03:13,27-Mar-2022 07:57:10
,227151,27-Mar-2022 07:31:15,-34.7,151.25,Light - Dusk,,,48,705,,76.4115030516071,,
,227151,27-Mar-2022 12:00:00,-34.725,151.275,None,,,,,,,,
,227151,27-Mar-2022 19:23:45,-34.775,151.3,Light - Dawn,,,48,3793,,96.8079880416379,,
