DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 26-Mar-2022,0.00,1,,,, ,5,,24.00,4.00,21.100,23.300,,,32.00,4.00,19.100,23.700,,,48.00,4.00,18.100,21.500,,,64.00,4.00,16.900,19.100,,,80.00,4.00,15.300,17.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 29-Mar-2022,0.00,1,,,, ,6,,16.00,4.00,23.900,24.500,,,32.00,4.00,19.100,24.700,,,40.00,4.00,18.500,24.700,,,56.00,4.00,16.500,22.700,,,72.00,4.00,15.900,22.100,,,88.00,4.00,16.500,17.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 30-Mar-2022,1.00,4,,,, ,4,,32.00,4.00,21.300,24.100,,,40.00,4.00,19.500,24.100,,,56.00,4.00,16.700,23.700,,,80.00,4.00,15.900,17.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 31-Mar-2022,1.00,1,,,, ,5,,32.00,4.00,23.700,23.900,,,40.00,4.00,23.300,23.900,,,56.00,4.00,18.900,23.900,,,72.00,4.00,17.300,23.500,,,88.00,4.00,17.300,18.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 01-Apr-2022,1.00,2,,,, ,4,,40.00,4.00,23.100,23.500,,,48.00,4.00,23.100,23.500,,,64.00,4.00,17.700,23.500,,,88.00,4.00,19.300,20.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 03-Apr-2022,1.00,1,,,, ,4,,48.00,4.00,22.100,22.900,,,56.00,4.00,21.700,22.900,,,72.00,4.00,21.500,22.700,,,88.00,4.00,20.500,22.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 04-Apr-2022,1.00,2,,,, ,4,,48.00,4.00,22.300,22.900,,,56.00,4.00,21.500,22.900,,,72.00,4.00,20.500,22.500,,,88.00,4.00,17.100,22.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 05-Apr-2022,1.00,1,,,, ,3,,48.00,4.00,22.500,22.700,,,56.00,4.00,20.100,22.700,,,80.00,4.00,19.700,21.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 08-Apr-2022,2.00,3,,,, ,4,,56.00,4.00,20.100,22.100,,,64.00,4.00,18.900,22.100,,,80.00,4.00,15.900,21.500,,,96.00,4.00,15.900,17.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 09-Apr-2022,2.00,1,,,, ,4,,48.00,4.00,19.700,22.300,,,56.00,4.00,18.500,22.500,,,72.00,4.00,16.300,21.900,,,96.00,4.00,16.700,16.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 10-Apr-2022,2.00,2,,,, ,4,,48.00,4.00,19.700,22.500,,,56.00,4.00,17.700,22.700,,,72.00,4.00,15.500,22.500,,,96.00,4.00,16.500,16.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 11-Apr-2022,2.00,1,,,, ,5,,40.00,4.00,19.700,22.700,,,48.00,4.00,16.100,22.700,,,64.00,4.00,15.300,22.300,,,80.00,4.00,14.900,16.300,,,96.00,4.00,14.700,15.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,00:00:00 12-Apr-2022,2.00,3,,,, ,4,,40.00,4.00,19.700,22.900,,,48.00,4.00,17.500,22.900,,,64.00,4.00,15.700,21.900,,,80.00,4.00,15.300,18.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
