DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
227151,227151,0.500000,Transmission,MiniPAT,3,16:00:00 24-Mar-2022,00:00:00 25-Mar-2022,,,,31.5,0.25,92.0,0.75,,,,,63.00,19.00,88
227151,227151,0.500000,Transmission,MiniPAT,2,00:00:00 25-Mar-2022,08:00:00 25-Mar-2022,,,,47.5,0.25,94.0,0.75,15.2,0.00,19.1,0.00,63.00,18.00,655
227151,227151,0.500000,Transmission,MiniPAT,3,08:00:00 25-Mar-2022,16:00:00 25-Mar-2022,,,,10.0,0.00,78.0,0.75,,,,,63.00,18.00,463
227151,227151,0.500000,Transmission,MiniPAT,3,16:00:00 25-Mar-2022,00:00:00 26-Mar-2022,,,,29.5,0.25,82.0,0.75,16.4,0.00,22.3,0.00,63.00,18.00,597
227151,227151,0.500000,Transmission,MiniPAT,3,00:00:00 26-Mar-2022,08:00:00 26-Mar-2022,,,,37.5,0.25,74.0,0.75,17.2,0.00,21.8,0.00,63.00,17.00,455
227151,227151,0.500000,Transmission,MiniPAT,3,08:00:00 26-Mar-2022,16:00:00 26-Mar-2022,,,,26.5,0.25,82.0,0.75,15.2,0.00,23.3,0.00,63.00,18.00,709
227151,227151,0.500000,Transmission,MiniPAT,2,16:00:00 26-Mar-2022,00:00:00 27-Mar-2022,,,,26.5,0.25,78.0,0.75,16.5,0.00,23.5,0.00,62.00,17.00,842
227151,227151,0.500000,Transmission,MiniPAT,2,00:00:00 27-Mar-2022,08:00:00 27-Mar-2022,,,,41.5,0.25,84.0,0.75,17.1,0.00,20.9,0.00,62.00,15.00,708
227151,227151,0.500000,Transmission,MiniPAT,2,08:00:00 27-Mar-2022,16:00:00 27-Mar-2022,,,,25.5,0.25,74.0,0.75,15.9,0.00,23.4,0.00,,,
227151,227151,0.500000,Transmission,MiniPAT,1,16:00:00 27-Mar-2022,00:00:00 28-Mar-2022,,,,29.5,0.25,76.0,0.75,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,2,08:00:00 28-Mar-2022,16:00:00 28-Mar-2022,,,,,,,,,,,,48.00,15.00,1554
227151,227151,0.500000,Transmission,MiniPAT,5,16:00:00 28-Mar-2022,00:00:00 29-Mar-2022,,,,29.5,0.25,86.0,0.75,16.1,0.00,23.1,0.00,43.00,14.00,1149
227151,227151,0.500000,Transmission,MiniPAT,2,00:00:00 29-Mar-2022,08:00:00 29-Mar-2022,,,,34.5,0.25,70.0,0.75,17.2,0.00,22.5,0.00,47.00,14.00,943
227151,227151,0.500000,Transmission,MiniPAT,2,08:00:00 29-Mar-2022,16:00:00 29-Mar-2022,,,,13.5,0.00,88.0,0.75,15.8,0.00,24.5,0.00,48.00,17.00,1563
227151,227151,0.500000,Transmission,MiniPAT,1,16:00:00 29-Mar-2022,00:00:00 30-Mar-2022,,,,31.5,0.25,84.0,0.75,16.5,0.00,23.3,0.00,45.00,14.00,1512
227151,227151,0.500000,Transmission,MiniPAT,2,00:00:00 30-Mar-2022,08:00:00 30-Mar-2022,,,,42.5,0.25,70.0,0.75,16.6,0.00,21.8,0.00,,,
227151,227151,0.500000,Transmission,MiniPAT,4,08:00:00 30-Mar-2022,16:00:00 30-Mar-2022,,,,30.5,0.25,78.0,0.75,15.8,0.00,23.9,0.00,45.00,15.00,1770
227151,227151,0.500000,Transmission,MiniPAT,3,16:00:00 30-Mar-2022,00:00:00 31-Mar-2022,,,,34.5,0.25,80.0,0.75,17.2,0.00,23.8,0.00,38.00,13.00,1573
227151,227151,0.500000,Transmission,MiniPAT,2,00:00:00 31-Mar-2022,08:00:00 31-Mar-2022,,,,28.5,0.25,84.0,0.75,17.3,0.00,23.8,0.00,44.00,15.00,1538
227151,227151,0.500000,Transmission,MiniPAT,1,08:00:00 31-Mar-2022,16:00:00 31-Mar-2022,,,,36.5,0.25,86.0,0.75,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,1,16:00:00 31-Mar-2022,00:00:00 01-Apr-2022,,,,,,,,17.4,0.00,23.5,0.00,49.00,14.00,1426
227151,227151,0.500000,Transmission,MiniPAT,2,00:00:00 01-Apr-2022,08:00:00 01-Apr-2022,,,,52.5,0.25,86.0,0.75,17.3,0.00,23.3,0.00,63.00,19.00,1467
227151,227151,0.500000,Transmission,MiniPAT,1,08:00:00 01-Apr-2022,16:00:00 01-Apr-2022,,,,40.5,0.25,86.0,0.75,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,1,00:00:00 02-Apr-2022,08:00:00 02-Apr-2022,,,,57.5,0.75,84.0,0.75,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,1,08:00:00 02-Apr-2022,16:00:00 02-Apr-2022,,,,37.5,0.25,78.0,0.75,,,,,,,
227151,227151,0.500000,Transmission,MiniPAT,1,16:00:00 02-Apr-2022,00:00:00 03-Apr-2022,,,,,,,,,,,,49.00,16.00,1911
227151,227151,0.500000,Transmission,MiniPAT,3,00:00:00 03-Apr-2022,08:00:00 03-Apr-2022,,,,53.5,0.25,84.0,0.75,22.1,0.00,22.9,0.00,46.00,16.00,2016
227151,227151,0.500000,Transmission,MiniPAT,3,08:00:00 03-Apr-2022,16:00:00 03-Apr-2022,,,,47.5,0.25,86.0,0.75,21.5,0.00,22.8,0.00,36.00,13.00,1691
227151,227151,0.500000,Transmission,MiniPAT,1,16:00:00 03-Apr-2022,00:00:00 04-Apr-2022,,,,,,,,,,,,40.00,15.00,1899
227151,227151,0.500000,Transmission,MiniPAT,3,00:00:00 04-Apr-2022,08:00:00 04-Apr-2022,,,,53.5,0.25,76.0,0.75,21.5,0.00,22.6,0.00,42.00,14.00,1430
227151,227151,0.500000,Transmission,MiniPAT,3,08:00:00 04-Apr-2022,16:00:00 04-Apr-2022,,,,45.5,0.25,86.0,0.75,20.4,0.00,22.8,0.00,39.00,13.00,1793
227151,227151,0.500000,Transmission,MiniPAT,3,16:00:00 04-Apr-2022,00:00:00 05-Apr-2022,,,,53.5,0.25,84.0,0.75,17.5,0.00,22.8,0.00,43.00,14.00,1570
