"Day","DeployID","MinDepth","MaxDepth","MeanDepth","MinTemp","MaxTemp","MeanTemp"
2022-03-24,227151,32.5,88.5,67.4,Inf,-Inf,NA
2022-03-25,227151,18,91.5,54.2118055555556,15.4,19.8,18.5895833333333
2022-03-26,227151,29,78.5,48.2777777777778,16.6,22.6,19.4777777777778
2022-03-27,227151,28.5,67,45.6527777777778,17.9,23.2,20.1791666666667
2022-03-28,227151,34.5,67.5,46.5833333333333,17.2,22.4,19.7520833333333
2022-03-29,227151,31,67,47.1319444444444,16.2,24.3,19.8506944444444
2022-03-30,227151,36,75.5,50.0173611111111,16.7,23.7,20.6826388888889
2022-03-31,227151,42.5,83,53.3333333333333,18.3,23.6,22.45
2022-04-01,227151,46,84,64.6041666666667,19.8,23.1,21.0666666666667
2022-04-02,227151,55.5,72,63.9010416666667,Inf,-Inf,NA
2022-04-03,227151,49,70,59.0833333333333,22.1,22.9,22.540625
2022-04-04,227151,52,82.5,60.2083333333333,19,22.7,22.3763888888889
2022-04-05,227151,53.5,68,59.8958333333333,22.2,22.6,22.4791666666667
2022-04-06,227151,52.5,100.5,62.5364583333333,18.7,22.2,21.5333333333333
2022-04-07,227151,53,90,61.1770833333333,Inf,-Inf,NA
2022-04-08,227151,53.5,97.5,62.6666666666667,16.6,21.9,21.140625
2022-04-09,227151,49.5,63,56.8541666666667,16.7,22.2,20.7625
2022-04-10,227151,53,90,62.0208333333333,15.5,22.2,19.9708333333333
2022-04-11,227151,Inf,-Inf,NA,15.6,22.3,19.9708333333333
2022-04-12,227151,38.5,76.5,57.4513888888889,15.6,22.6,20.1798611111111
2022-04-13,227151,34.5,72.5,59.0451388888889,17.3,22.4,20.2625
2022-04-14,227151,56.5,69,61.5833333333333,17.8,21.3,20.2625
2022-04-15,227151,38,74,52.9791666666667,16.9,22.3,19.990625
2022-04-16,227151,43.5,74,61.4270833333333,15.8,22.3,17.5229166666667
2022-04-17,227151,35.5,74,65.2534722222222,15.2,20.1,15.9729166666667
2022-04-18,227151,41,74,62.5052083333333,15.3,19.2,16.596875
2022-04-19,227151,40,76,61.9010416666667,14.9,21,16.3666666666667
2022-04-20,227151,34.5,76,59.7569444444444,14.9,21.1,16.0364583333333
2022-04-21,227151,38,76.5,62.2118055555556,15,22.3,16.5465277777778
2022-04-22,227151,47.5,80,65.8402777777778,16,20.6,17.1833333333333
2022-04-23,227151,42,75.5,59.3697916666667,16.4,20.8,17.6083333333333
2022-04-24,227151,44.5,76,60.3645833333333,16.3,19.6,18.259375
2022-04-25,227151,44.5,76,59.28125,16.1,19.3,17.1708333333333
2022-04-26,227151,48.5,76.5,67.2673611111111,15.5,19,16.5833333333333
2022-04-27,227151,53.5,81.5,69.75,15,19.4,15.7375
2022-04-29,227151,42.5,95,63.2638888888889,15.6,20.1,17.8611111111111
2022-04-30,227151,44.5,106,55.125,14.5,19.6,18.4236111111111
2022-05-01,227151,43,88,54.046875,15.4,22.4,18.3097222222222
2022-05-02,227151,44.5,91.5,62.9513888888889,14.9,18.3,16.5583333333333
2022-05-03,227151,51.5,80,67.3125,15.8,18.3,16.11875
2022-05-04,227151,46.5,76.5,60.6111111111111,15.4,17.2,16.2131944444444
2022-05-05,227151,52.5,74.5,61.8854166666667,15.4,17.1,16.0611111111111
2022-05-06,227151,43,74.5,60.7777777777778,15.9,21.9,17.4652777777778
2022-05-07,227151,48.5,72.5,64.8229166666667,16.1,20.9,18.0409722222222
2022-05-08,227151,58,81,68.8194444444444,17.1,17.6,17.2354166666667
2022-05-09,227151,62.5,75,69.9427083333333,16.8,18.9,17.2013888888889
2022-05-10,227151,63.5,74,69.7604166666667,16,17.8,16.6590277777778
2022-05-11,227151,68.5,76,72.5416666666667,16.4,17.9,17.2125
2022-05-12,227151,Inf,-Inf,NA,17.4,17.8,17.6583333333333
2022-05-13,227151,64,74,71.25,17.6,17.9,17.7284722222222
2022-05-14,227151,55.5,75,71.6875,17.1,17.6,17.5572916666667
2022-05-15,227151,55.5,75,71.0729166666667,16.8,17.7,17.0715277777778
2022-05-16,227151,Inf,-Inf,NA,16.3,17.9,16.890625
2022-05-17,227151,49.5,74.5,69.015625,16.9,18.6,17.23125
2022-05-18,227151,Inf,-Inf,NA,17.4,18.6,17.4645833333333
2022-05-19,227151,50,75,68.8020833333333,17.1,20.8,17.7173611111111
2022-05-20,227151,47,76.5,68.0277777777778,17,19.7,17.3916666666667
2022-05-21,227151,58.5,75.5,69.8958333333333,Inf,-Inf,NA
2022-05-22,227151,66,74,70.1145833333333,17.4,19.4,18.1215277777778
2022-05-23,227151,55.5,75,69.3402777777778,18,21.4,19.978125
2022-05-24,227151,57,75,70.2291666666667,18,19.3,18.690625
2022-05-25,227151,53.5,76,67.9166666666667,17.3,17.7,17.4708333333333
2022-05-26,227151,54.5,74.5,66.625,16.5,19.1,17.325
2022-05-28,227151,47.5,74.5,66.5590277777778,16.3,19.2,16.9722222222222
2022-05-29,227151,53.5,75.5,70.9270833333333,16.7,18.9,17.0739583333333
2022-05-30,227151,54.5,76,70.8489583333333,Inf,-Inf,NA
2022-05-31,227151,56,76.5,69.6180555555556,16.8,18.8,17.3659722222222
2022-06-01,227151,47.5,74.5,62.2708333333333,17.6,20.6,18.7875
2022-06-02,227151,54,76.5,69.3541666666667,19.4,21,19.6923611111111
2022-06-03,227151,50,74.5,63.8958333333333,19.4,20.9,19.8152777777778
2022-06-04,227151,58.5,74.5,68.59375,19.4,19.5,19.4041666666667
2022-06-05,227151,34,74.5,68,18.6,18.9,18.75625
2022-06-06,227151,50,75,66.53125,17.8,19.9,18.2229166666667
2022-06-07,227151,49.5,76.5,66.6319444444444,18.1,19.6,18.4097222222222
2022-06-08,227151,57.5,75.5,64.9635416666667,19.4,19.8,19.5583333333333
2022-06-09,227151,57,70.5,62.8125,19.8,19.9,19.86875
2022-06-10,227151,54,72,61.3923611111111,19.4,19.5,19.4385416666667
2022-06-11,227151,59,83,66.3993055555556,19.3,19.5,19.3673611111111
2022-06-12,227151,63.5,87.5,73.6770833333333,Inf,-Inf,NA
2022-06-13,227151,54,67,60.7239583333333,19.1,19.2,19.103125
2022-06-14,227151,53.5,71,61.4322916666667,18.9,19,18.975
2022-06-15,227151,0.5,79,20.4409722222222,18.8,19.1,19.0222222222222
2022-06-16,227151,0.5,0.5,0.5,19.1,19.2,19.1104166666667
2022-06-17,227151,0.5,0.5,0.5,18.9,21.5,20.6569444444444
2022-06-18,227151,0.5,0.5,0.5,Inf,-Inf,NA
