"; PTT 47618, Serial 17P0804, Run 7 - 0.25&deg; Grid Size @ 29-Dec-2020 12:41"
"; Marine @ 3.0 meters/second, Model Score 82.14"
"; 315 Twilights, 157 SSTs, 1 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
47618_SIL_F,47618,03-Feb-2019 05:11:15,-21.925,-160.3,Light - Dusk,,,80,4854,,82.9947528450755,,
47618_SIL_F,47618,03-Feb-2019 12:00:00,-21.95,-160.3,None,,,,,,,,
47618_SIL_F,47618,03-Feb-2019 15:30:00,-21.95,-160.325,Light - Dawn,,,48,4854,,80.2071834652324,,
47618_SIL_F,47618,03-Feb-2019 16:00:00,-21.95,-160.325,SST,28.5,28.4366664886475,0,4854,,79.575464205148,,
47618_SIL_F,47618,04-Feb-2019 00:00:00,-22,-160.35,None,,,,,,,04-Feb-2019 16:24:38,05-Feb-2019 05:25:45
47618_SIL_F,47618,04-Feb-2019 05:27:30,-22.05,-160.35,Light - Dusk,,,48,4719,,44.4164824417355,,
47618_SIL_F,47618,04-Feb-2019 12:00:00,-22.075,-160.375,None,,,,,,,,
47618_SIL_F,47618,04-Feb-2019 15:00:00,-22.1,-160.375,SST,28,28.269998550415,0,4719,,51.365537954214,,
47618_SIL_F,47618,04-Feb-2019 15:31:15,-22.1,-160.375,Light - Dawn,,,16,4719,,89.5195498131019,,
47618_SIL_F,47618,05-Feb-2019 00:00:00,-22.075,-160.45,None,,,,,,,05-Feb-2019 16:25:33,06-Feb-2019 05:25:47
47618_SIL_F,47618,05-Feb-2019 05:06:15,-22.075,-160.5,Light - Dusk,,,48,4719,,92.0260452258654,,
47618_SIL_F,47618,05-Feb-2019 09:00:00,-22.05,-160.525,SST,27.8,28.1137497425079,0,4740,,42.8898913893036,,
47618_SIL_F,47618,05-Feb-2019 12:00:00,-22.025,-160.525,None,,,,,,,,
47618_SIL_F,47618,05-Feb-2019 15:32:30,-21.975,-160.55,Light - Dawn,,,16,4742,,31.8949134702691,,
47618_SIL_F,47618,06-Feb-2019 00:00:00,-21.925,-160.4,None,,,,,,,06-Feb-2019 16:26:10,07-Feb-2019 05:24:54
47618_SIL_F,47618,06-Feb-2019 04:53:45,-21.925,-160.325,Light - Dusk,,,16,4854,,66.3308317244654,,
47618_SIL_F,47618,06-Feb-2019 12:00:00,-22.05,-160.325,SST,27.8,27.8599996566772,0,4719,,53.058598862955,,
47618_SIL_F,47618,06-Feb-2019 15:25:00,-21.975,-160.3,Light - Dawn,,,16,4854,,81.3794737709286,,
47618_SIL_F,47618,07-Feb-2019 00:00:00,-21.9,-160.275,None,,,,,,,07-Feb-2019 16:26:19,08-Feb-2019 05:23:52
47618_SIL_F,47618,07-Feb-2019 05:06:15,-21.9,-160.25,Light - Dusk,,,16,4854,,83.1604454301197,,
47618_SIL_F,47618,07-Feb-2019 08:00:00,-21.95,-160.225,SST,27.9,28.1133327484131,0,4970,,55.2168227471673,,
47618_SIL_F,47618,07-Feb-2019 12:00:00,-21.825,-160.2,None,,,,,,,,
47618_SIL_F,47618,07-Feb-2019 15:32:30,-21.775,-160.175,Light - Dawn,,,16,4970,,78.9735311479831,,
47618_SIL_F,47618,08-Feb-2019 00:00:00,-21.65,-160.1,None,,,,,,,08-Feb-2019 16:26:32,09-Feb-2019 05:22:20
47618_SIL_F,47618,08-Feb-2019 05:17:30,-21.6,-160.05,Light - Dusk,,,48,4887,,77.5429228358707,,
47618_SIL_F,47618,08-Feb-2019 12:00:00,-21.575,-160,SST,28,28.1999988555908,0,4585,,56.137786711856,,
47618_SIL_F,47618,08-Feb-2019 15:36:15,-21.5,-160,Light - Dawn,,,16,4585,,94.5525960470902,,
47618_SIL_F,47618,09-Feb-2019 00:00:00,-21.3,-159.975,None,,,,,,,09-Feb-2019 16:27:03,10-Feb-2019 05:20:53
