Ptt,Instr,Date,MinTemp,MaxTemp,MinDepth,MaxDepth,MaxDeltaTilt,AvgMinMaxTilt,DeltaLight
47622,MiniPAT,02/26/2019,20.0,28.2,-1.000000,226.000000,,,172.000000
47622,MiniPAT,02/27/2019,18.6,28.5,-1.000000,269.000000,,,191.000000
47622,MiniPAT,02/28/2019,10.7,28.9,-1.000000,447.000000,,,188.000000
47622,MiniPAT,03/01/2019,16.7,29.8,0.000000,312.000000,,,185.000000
47622,MiniPAT,03/02/2019,11.0,30.3,0.000000,446.000000,,,190.000000
47622,MiniPAT,03/03/2019,7.1,30.0,-1.000000,620.000000,,,189.000000
47622,MiniPAT,03/04/2019,11.8,29.8,-1.000000,408.000000,,,196.000000
47622,MiniPAT,03/05/2019,12.3,29.1,-1.000000,411.000000,,,192.000000
47622,MiniPAT,03/06/2019,9.5,29.0,-1.000000,465.000000,,,196.000000
47622,MiniPAT,03/07/2019,11.6,29.4,-1.000000,425.000000,,,199.000000
47622,MiniPAT,03/08/2019,7.3,29.5,-1.000000,584.000000,,,198.000000
47622,MiniPAT,03/09/2019,11.8,29.4,-1.000000,426.000000,,,196.000000
47622,MiniPAT,03/18/2019,13.5,29.9,-1.000000,367.000000,,,187.000000
47622,MiniPAT,03/19/2019,12.6,30.0,-1.000000,379.000000,,,191.000000
47622,MiniPAT,03/20/2019,14.5,30.0,-1.000000,337.000000,,,177.000000
47622,MiniPAT,03/21/2019,9.0,30.7,-1.000000,462.000000,,,184.000000
47622,MiniPAT,03/22/2019,8.7,30.7,-1.000000,478.000000,,,196.000000
47622,MiniPAT,03/23/2019,16.8,30.2,-1.000000,286.000000,,,192.000000
47622,MiniPAT,03/24/2019,9.2,30.6,-1.000000,441.000000,,,198.000000
47622,MiniPAT,03/25/2019,11.7,30.3,0.000000,341.000000,,,157.000000
47622,MiniPAT,03/30/2019,10.2,30.3,-1.000000,366.000000,,,198.000000
47622,MiniPAT,03/31/2019,8.6,29.9,-1.000000,484.000000,,,202.000000
47622,MiniPAT,04/01/2019,9.7,29.8,-1.000000,417.000000,,,193.000000
47622,MiniPAT,04/02/2019,5.2,29.8,-1.000000,954.000000,,,201.000000
47622,MiniPAT,04/03/2019,9.6,29.7,-1.000000,421.000000,,,200.000000
47622,MiniPAT,04/04/2019,6.9,29.7,-1.000000,661.000000,,,196.000000
47622,MiniPAT,04/05/2019,11.8,29.5,-1.000000,279.000000,,,196.000000
47622,MiniPAT,04/06/2019,10.3,29.4,-1.000000,365.000000,,,196.000000
47622,MiniPAT,04/07/2019,8.2,29.5,-1.000000,526.000000,,,197.000000
47622,MiniPAT,04/08/2019,13.0,29.4,-1.000000,241.000000,,,189.000000
47622,MiniPAT,04/09/2019,8.4,29.3,-1.000000,497.000000,,,182.000000
47622,MiniPAT,04/10/2019,11.2,29.9,-1.000000,276.000000,,,191.000000
47622,MiniPAT,04/11/2019,11.2,30.4,-1.000000,291.000000,,,192.000000
47622,MiniPAT,04/12/2019,11.5,30.3,-1.000000,279.000000,,,193.000000
47622,MiniPAT,04/13/2019,8.1,30.0,-1.000000,472.000000,,,196.000000
47622,MiniPAT,04/14/2019,7.4,29.7,-1.000000,601.000000,,,195.000000
47622,MiniPAT,04/15/2019,9.5,29.5,-1.000000,402.000000,,,191.000000
47622,MiniPAT,04/16/2019,8.5,29.7,-1.000000,518.000000,,,191.000000
47622,MiniPAT,04/17/2019,7.0,29.7,-1.000000,623.000000,,,199.000000
47622,MiniPAT,04/18/2019,8.8,29.8,-1.000000,441.000000,,,187.000000
47622,MiniPAT,04/19/2019,9.7,30.2,-1.000000,404.000000,,,189.000000
47622,MiniPAT,04/20/2019,10.4,29.6,-2.000000,377.000000,,,175.000000
47622,MiniPAT,04/21/2019,11.5,29.6,-1.000000,314.000000,,,186.000000
47622,MiniPAT,04/22/2019,12.8,29.6,-2.000000,258.000000,,,193.000000
47622,MiniPAT,04/23/2019,9.9,29.7,-1.000000,397.000000,,,198.000000
47622,MiniPAT,04/24/2019,8.4,29.6,-1.000000,503.000000,,,193.000000
47622,MiniPAT,04/25/2019,11.5,29.6,-1.000000,285.000000,,,185.000000
47622,MiniPAT,04/26/2019,10.0,29.5,-1.000000,351.000000,,,186.000000
47622,MiniPAT,04/27/2019,9.0,29.4,-1.000000,457.000000,,,194.000000
47622,MiniPAT,04/28/2019,9.2,29.4,-1.000000,449.000000,,,191.000000
47622,MiniPAT,04/29/2019,9.1,29.5,-1.000000,479.000000,,,192.000000
