DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 26-Feb-2019,16:00:00 26-Feb-2019,,,,5.5,0.00,228.0,1.75,19.9,0.00,28.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,16:00:00 26-Feb-2019,00:00:00 27-Feb-2019,,,,20.0,0.00,224.0,1.75,19.8,0.00,28.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,00:00:00 27-Feb-2019,08:00:00 27-Feb-2019,,,,22.5,0.00,216.0,1.75,20.4,0.00,28.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,08:00:00 27-Feb-2019,16:00:00 27-Feb-2019,,,,18.0,0.00,249.0,2.75,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 27-Feb-2019,00:00:00 28-Feb-2019,,,,0.0,0.00,272.0,3.75,18.4,0.00,28.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 28-Feb-2019,08:00:00 28-Feb-2019,,,,,,,,10.4,0.00,28.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 28-Feb-2019,16:00:00 28-Feb-2019,,,,7.0,0.00,208.0,1.75,20.7,0.00,28.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 28-Feb-2019,00:00:00 01-Mar-2019,,,,0.0,0.00,288.0,3.75,18.1,0.00,28.9,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,00:00:00 01-Mar-2019,08:00:00 01-Mar-2019,,,,1.0,0.00,272.0,3.75,18.2,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,08:00:00 01-Mar-2019,16:00:00 01-Mar-2019,,,,0.0,0.00,168.0,1.75,21.5,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,16:00:00 01-Mar-2019,00:00:00 02-Mar-2019,,,,0.0,0.00,320.0,3.75,16.5,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 02-Mar-2019,08:00:00 02-Mar-2019,,,,,,,,14.2,0.00,30.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,08:00:00 02-Mar-2019,16:00:00 02-Mar-2019,,,,,,,,20.6,0.00,29.9,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 02-Mar-2019,00:00:00 03-Mar-2019,,,,0.0,0.00,448.0,3.75,10.8,0.00,30.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 03-Mar-2019,08:00:00 03-Mar-2019,,,,0.0,0.00,632.0,7.75,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 03-Mar-2019,16:00:00 03-Mar-2019,,,,0.0,0.00,200.0,1.75,21.2,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 03-Mar-2019,00:00:00 04-Mar-2019,,,,0.0,0.00,448.0,3.75,10.4,0.00,30.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 04-Mar-2019,08:00:00 04-Mar-2019,,,,0.0,0.00,400.0,3.75,13.1,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 04-Mar-2019,16:00:00 04-Mar-2019,,,,0.0,0.00,224.0,1.75,20.0,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 04-Mar-2019,00:00:00 05-Mar-2019,,,,0.0,0.00,408.0,3.75,11.6,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 05-Mar-2019,08:00:00 05-Mar-2019,,,,,,,,12.1,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 05-Mar-2019,16:00:00 05-Mar-2019,,,,0.0,0.00,280.0,3.75,18.6,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 05-Mar-2019,00:00:00 06-Mar-2019,,,,0.0,0.00,376.0,3.75,13.4,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 06-Mar-2019,08:00:00 06-Mar-2019,,,,0.0,0.00,212.0,1.75,21.1,0.00,29.0,0.00,,,
