source,date,common_name,species,longitude,latitude
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-01-27,Common Coral Trout,Plectropomus leopardus,145.868767,-16.038383
Reef Life Survey: Global reef fish dataset,2011-02-01,Snapper,Chrysophrys auratus,152.16,-32.71
Reef Life Survey: Global reef fish dataset,2011-02-26,Snapper,Chrysophrys auratus,152.16,-32.71
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-03-12,Common Coral Trout,Plectropomus leopardus,149.37865,-19.769367
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-03-15,Common Coral Trout,Plectropomus leopardus,149.6951,-20.029433
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-03-18,Common Coral Trout,Plectropomus leopardus,150.16235,-19.800517
Reef Life Survey: Global reef fish dataset,2011-03-26,Spangled Emperor,Lethrinus nebulosus,151.3,-33.8
Reef Life Survey: Global reef fish dataset,2011-03-27,Snapper,Chrysophrys auratus,151.27,-33.83
Reef Life Survey: Global reef fish dataset,2011-03-27,Snapper,Chrysophrys auratus,151.27,-33.82
Reef Life Survey: Global reef fish dataset,2011-04-16,Snapper,Chrysophrys auratus,150.75,-35.12
Reef Life Survey: Global reef fish dataset,2011-04-26,Snapper,Chrysophrys auratus,152.15,-32.71
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-05-04,Common Coral Trout,Plectropomus leopardus,147.723833,-18.6558
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-05-05,Common Coral Trout,Plectropomus leopardus,147.670517,-18.811317
Gaia Guide,2011-05-15,Common Coral Trout,Plectropomus leopardus,145.459156,-14.67311
Reef Life Survey: Global reef fish dataset,2011-07-03,Snapper,Chrysophrys auratus,152.14,-32.72
Reef Life Survey: Global reef fish dataset,2011-08-28,Snapper,Chrysophrys auratus,152.16,-32.71
Lizard Island Research Station,2011-09-25,Common Coral Trout,Plectropomus leopardus,145.437516,-14.680198
Lizard Island Research Station,2011-09-25,Common Coral Trout,Plectropomus leopardus,145.450049,-14.646977
iNaturalist Australia,2011-09-29,Spangled Emperor,Lethrinus nebulosus,151.9148,-23.442298
Reef Life Survey: Global reef fish dataset,2011-10-09,Snapper,Chrysophrys auratus,152.22,-32.69
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-17,Common Coral Trout,Plectropomus leopardus,150.596917,-21.0092
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-23,Common Coral Trout,Plectropomus leopardus,152.57005,-21.469633
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-23,Common Coral Trout,Plectropomus leopardus,152.5665,-21.469817
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-29,Common Coral Trout,Plectropomus leopardus,152.300283,-23.795367
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-12-08,Common Coral Trout,Plectropomus leopardus,151.915433,-23.1778
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-05,Common Coral Trout,Plectropomus leopardus,152.316733,-21.96115
