id,date,depth,temp,sal,lon,lat,scientific_name,common_name,sex
Monique,2022-10-09,2,29.404,34.911,135.1204916621135,-11.67503362634313,Natator depressus,Flatback Turtle,Female
Monique,2022-10-11,2,29.738,34.784,135.163822782874,-11.69956362721758,Natator depressus,Flatback Turtle,Female
Monique,2022-10-12,3,29.532,34.644,135.1166269920176,-11.59644032030272,Natator depressus,Flatback Turtle,Female
Monique,2022-10-13,12,29.098,34.456,135.1128639133829,-11.54450708394059,Natator depressus,Flatback Turtle,Female
Monique,2022-10-14,12,29.107,34.31,134.9851596529268,-11.44946511591976,Natator depressus,Flatback Turtle,Female
Monique,2022-10-15,5.5,29.407,34.391,134.9060616159912,-11.52858453062252,Natator depressus,Flatback Turtle,Female
Monique,2022-10-16,30,29.3,34.669,134.7225644059903,-11.48889167336591,Natator depressus,Flatback Turtle,Female
Monique,2022-10-17,10,29.452,34.182,134.3813357239943,-11.24572898496221,Natator depressus,Flatback Turtle,Female
Monique,2022-10-18,22,28.837,34.474,134.2877050203834,-11.13538009546682,Natator depressus,Flatback Turtle,Female
Monique,2022-10-19,16,29.167,34.323,134.2202308007286,-11.03528406231098,Natator depressus,Flatback Turtle,Female
Monique,2022-10-20,50,27.275,34.267,133.9935591963763,-10.70538830139896,Natator depressus,Flatback Turtle,Female
Monique,2022-10-21,50,27.388,34.301,133.9019844289357,-10.52924072695847,Natator depressus,Flatback Turtle,Female
Monique,2022-10-22,50,27.289,34.037,133.7252032952333,-10.35355852969917,Natator depressus,Flatback Turtle,Female
Monique,2022-10-23,21,29.853,33.601,133.5010243467918,-10.34549921587207,Natator depressus,Flatback Turtle,Female
Monique,2022-10-24,2,30.378,33.699,133.4065098538198,-10.36647888755024,Natator depressus,Flatback Turtle,Female
Monique,2022-10-25,2,30.336,33.595,133.1960618821591,-10.39426886586318,Natator depressus,Flatback Turtle,Female
Monique,2022-10-26,30,28.741,33.924,132.8862755450254,-10.42865764493161,Natator depressus,Flatback Turtle,Female
Monique,2022-10-27,33,28.926,33.818,132.7427269151335,-10.45602968101087,Natator depressus,Flatback Turtle,Female
Monique,2022-10-28,35,28.89,33.874,132.5297186028969,-10.44475073492205,Natator depressus,Flatback Turtle,Female
Monique,2022-10-29,50,26.584,34.252,132.3344221676988,-10.4710901093941,Natator depressus,Flatback Turtle,Female
Monique,2022-10-30,47.5,26.778,34.307,132.1765603826394,-10.44415973002687,Natator depressus,Flatback Turtle,Female
Monique,2022-10-31,37.5,29.847,34.403,132.1017695404227,-10.39674414559929,Natator depressus,Flatback Turtle,Female
Monique,2022-11-01,30,28.9,33.828,131.7595615066425,-10.38339944682825,Natator depressus,Flatback Turtle,Female
Monique,2022-11-02,59.5,26.413,34.154,131.3924950944332,-10.44316417791543,Natator depressus,Flatback Turtle,Female
Monique,2022-11-03,30,28.6,34.014,131.2846287182257,-10.45225012403309,Natator depressus,Flatback Turtle,Female
Monique,2022-11-04,58.5,25.341,34.362,131.1791986303967,-10.47703503422709,Natator depressus,Flatback Turtle,Female
Monique,2022-11-05,20,30.479,33.965,131.1277782224938,-10.46523454326893,Natator depressus,Flatback Turtle,Female
Monique,2022-11-06,50,27.599,34.301,130.9627284108306,-10.49201198981481,Natator depressus,Flatback Turtle,Female
Monique,2022-11-07,10,30.502,34.13,130.6233438667627,-10.52939827893438,Natator depressus,Flatback Turtle,Female
Monique,2022-11-08,50,28.977,34.24,130.2516162270212,-10.58699156408279,Natator depressus,Flatback Turtle,Female
Monique,2022-11-09,15,30.347,34.097,130.1639312142738,-10.60484037005058,Natator depressus,Flatback Turtle,Female
Monique,2022-11-10,12,29.866,34.08,129.9516733831029,-10.62984975078697,Natator depressus,Flatback Turtle,Female
Monique,2022-11-11,18.5,30.048,34.134,129.590342297789,-10.78028756512744,Natator depressus,Flatback Turtle,Female
Monique,2022-11-12,21.5,30.17,34.056,129.5075148489847,-10.7481220709551,Natator depressus,Flatback Turtle,Female
Monique,2022-11-13,10,30.389,33.642,129.1683716146749,-10.80591629597344,Natator depressus,Flatback Turtle,Female
Monique,2022-11-14,10,30.434,33.56,129.163422507912,-10.72292003154518,Natator depressus,Flatback Turtle,Female
Monique,2022-11-15,15.5,30.118,32.454,129.1260233657276,-10.71881920950753,Natator depressus,Flatback Turtle,Female
Monique,2022-11-16,18,30.569,32.7,129.0225665768921,-10.7602362119498,Natator depressus,Flatback Turtle,Female
Monique,2022-11-17,2,30.722,31.101,128.6169450936579,-11.03712755371469,Natator depressus,Flatback Turtle,Female
Monique,2022-11-18,42.5,28.94,31.072,128.4625688474637,-11.07140492095804,Natator depressus,Flatback Turtle,Female
Monique,2022-11-19,90.5,26.874,30.496,128.2789169535848,-11.14007290264372,Natator depressus,Flatback Turtle,Female
Monique,2022-11-20,15,30.65,31.015,128.0473699818753,-11.2767120676148,Natator depressus,Flatback Turtle,Female
Monique,2022-11-21,17.5,29.693,28.892,127.5691396632607,-11.52685162691527,Natator depressus,Flatback Turtle,Female
Monique,2022-11-22,2,29.918,28.618,127.0932539449173,-11.47590152986712,Natator depressus,Flatback Turtle,Female
Monique,2022-11-23,20,28.831,26.626,126.8009683766541,-11.33642820230314,Natator depressus,Flatback Turtle,Female
Monique,2022-11-24,40,28.09,28.041,126.6623806292019,-11.29443244327687,Natator depressus,Flatback Turtle,Female
Monique,2022-11-25,26.5,29.191,28.093,126.5355510733223,-11.34298366825507,Natator depressus,Flatback Turtle,Female
Monique,2022-11-26,40,28.098,26.277,126.3241743982149,-11.36000621477092,Natator depressus,Flatback Turtle,Female
Monique,2022-11-27,29,28.604,25.902,126.2932730985485,-11.34263845113259,Natator depressus,Flatback Turtle,Female
Monique,2022-11-28,10,30.068,26.441,126.3001935992289,-11.45119440121335,Natator depressus,Flatback Turtle,Female
Monique,2022-11-29,60.5,27.494,26.248,126.2117013498009,-11.60780442658211,Natator depressus,Flatback Turtle,Female
Monique,2022-11-30,84,27.594,24.886,126.1264703692458,-11.64779504553406,Natator depressus,Flatback Turtle,Female
Monique,2022-12-01,25,29.625,25.007,126.0602017413937,-11.72408687603563,Natator depressus,Flatback Turtle,Female
Monique,2022-12-02,21,29.186,25.315,125.8686699213766,-11.8654964993599,Natator depressus,Flatback Turtle,Female
Monique,2022-12-03,30,29.582,25.177,125.705157451942,-11.99899202091142,Natator depressus,Flatback Turtle,Female
Monique,2022-12-04,59,28.789,24.943,125.5623669447486,-12.14316859801392,Natator depressus,Flatback Turtle,Female
Monique,2022-12-05,70,27.443,24.717,125.4929312486103,-12.34948168021202,Natator depressus,Flatback Turtle,Female
Monique,2022-12-06,70,27.876,24.943,125.7639340259668,-12.41819244682349,Natator depressus,Flatback Turtle,Female
Monique,2022-12-07,63,27.906,24.998,125.7360763006685,-12.45701585573389,Natator depressus,Flatback Turtle,Female
Monique,2022-12-08,14,30.067,24.756,125.9436345619192,-12.30383232875673,Natator depressus,Flatback Turtle,Female
Monique,2022-12-09,80,28.03,25.044,125.9131422363978,-12.26973463467257,Natator depressus,Flatback Turtle,Female
Monique,2022-12-10,69.5,27.982,25.119,125.9260162177714,-12.27501409718741,Natator depressus,Flatback Turtle,Female
Monique,2022-12-11,20,29.346,25.63,125.9028551096219,-12.3896834006056,Natator depressus,Flatback Turtle,Female
Monique,2022-12-12,55.5,27.736,24.527,125.8630155184617,-12.46529885277249,Natator depressus,Flatback Turtle,Female
Monique,2022-12-13,15,30.498,24.613,125.7936911763693,-12.51542787615378,Natator depressus,Flatback Turtle,Female
Monique,2022-12-14,40,28.396,24.049,125.7381926590028,-12.82427151486586,Natator depressus,Flatback Turtle,Female
Monique,2022-12-15,18,30.483,24.445,125.7229009480726,-12.9297089518654,Natator depressus,Flatback Turtle,Female
Monique,2022-12-16,35,28.504,24.524,125.6606960622896,-13.06403606610553,Natator depressus,Flatback Turtle,Female
Monique,2022-12-17,35,28.281,24.314,125.5617126533255,-13.16266268341575,Natator depressus,Flatback Turtle,Female
Monique,2022-12-18,5,30.444,24.923,125.4224548214625,-13.2834199376711,Natator depressus,Flatback Turtle,Female
Monique,2022-12-19,10,30.3,24.102,125.29324634167,-13.41041940376551,Natator depressus,Flatback Turtle,Female
Monique,2022-12-20,30,27.857,23.985,125.0413329618089,-13.63689322773248,Natator depressus,Flatback Turtle,Female
Monique,2022-12-21,35,28.146,24.543,124.8902592430687,-13.77631640219889,Natator depressus,Flatback Turtle,Female
Monique,2022-12-22,57,27.238,23.38,124.7555700379399,-13.96769953127247,Natator depressus,Flatback Turtle,Female
Monique,2022-12-23,40,27.779,23.67,124.6436699336698,-14.05426272579496,Natator depressus,Flatback Turtle,Female
Monique,2022-12-24,34,28.652,23.783,124.5588685739494,-14.10119046834047,Natator depressus,Flatback Turtle,Female
Monique,2022-12-25,30,29.496,23.6,124.3761116123663,-14.23308544279689,Natator depressus,Flatback Turtle,Female
Monique,2022-12-26,31.5,27.677,22.928,124.0686081095158,-14.50062108130569,Natator depressus,Flatback Turtle,Female
Monique,2022-12-27,75,26.944,22.903,123.8888354561107,-14.58433769270735,Natator depressus,Flatback Turtle,Female
Monique,2022-12-28,33,28.539,22.965,123.7205716765005,-14.69414603033955,Natator depressus,Flatback Turtle,Female
Monique,2022-12-29,20,28.363,22.912,123.6063600992397,-14.74808020099987,Natator depressus,Flatback Turtle,Female
Monique,2022-12-30,20,27.665,22.678,123.6055712319532,-14.74740621316894,Natator depressus,Flatback Turtle,Female
Monique,2022-12-31,53.5,27.214,22.544,123.683531233887,-14.78329055594891,Natator depressus,Flatback Turtle,Female
Monique,2023-01-01,20,27.501,22.423,123.6142720541761,-14.82150816871739,Natator depressus,Flatback Turtle,Female
Monique,2023-01-02,53,26.78,22.436,123.5817793571581,-14.81894350348172,Natator depressus,Flatback Turtle,Female
Monique,2023-01-03,50,26.289,21.827,123.5397009002178,-14.96474971656379,Natator depressus,Flatback Turtle,Female
Monique,2023-01-04,36,27.271,21.616,123.5120738099282,-15.0921301849307,Natator depressus,Flatback Turtle,Female
Monique,2023-01-05,10,27.684,21.5,123.2478365544299,-15.14866561518963,Natator depressus,Flatback Turtle,Female
Monique,2023-01-06,50,26.076,21.5,123.1864849556477,-15.1646523330651,Natator depressus,Flatback Turtle,Female
Monique,2023-01-07,10,27.723,21.5,123.1184782418875,-15.24458205570183,Natator depressus,Flatback Turtle,Female
Monique,2023-01-08,10,27.829,21.5,123.0408599284515,-15.34615288071715,Natator depressus,Flatback Turtle,Female
Monique,2023-01-09,15,27.726,21.5,123.0221450477338,-15.36593022080894,Natator depressus,Flatback Turtle,Female
Monique,2023-01-10,70,25.869,21.5,122.8667605587055,-15.4952829726725,Natator depressus,Flatback Turtle,Female
Monique,2023-01-11,20,27.855,21.5,122.5622423010205,-15.57951716968503,Natator depressus,Flatback Turtle,Female
Monique,2023-01-12,24,26.952,21.5,122.0818049439411,-15.60951681549046,Natator depressus,Flatback Turtle,Female
Monique,2023-01-13,3.5,27.366,21.5,121.9054286318566,-15.45198544749523,Natator depressus,Flatback Turtle,Female
Monique,2023-01-14,10,27.823,21.5,121.8067677661923,-15.42910817059853,Natator depressus,Flatback Turtle,Female
Monique,2023-01-15,50,25.541,21.5,121.741264589307,-15.46492315526602,Natator depressus,Flatback Turtle,Female
Monique,2023-01-16,28.5,26.689,21.5,121.8919923624346,-15.47632152409832,Natator depressus,Flatback Turtle,Female
Monique,2023-01-17,39,27.248,21.5,121.9642298078636,-15.45278979121845,Natator depressus,Flatback Turtle,Female
Monique,2023-01-18,25,27,21.5,121.7483744057266,-15.33167236594685,Natator depressus,Flatback Turtle,Female
Monique,2023-01-19,40,26.205,21.5,121.6952948048881,-15.30364592123161,Natator depressus,Flatback Turtle,Female
Monique,2023-01-20,61.5,25.118,21.5,121.7238252396345,-15.44582596292629,Natator depressus,Flatback Turtle,Female
Monique,2023-01-21,30,27.661,21.5,121.7987031010481,-15.54266783050802,Natator depressus,Flatback Turtle,Female
Monique,2023-01-22,6,28.592,21.5,121.8919982591589,-15.67548853768595,Natator depressus,Flatback Turtle,Female
Monique,2023-01-23,10,28.334,21.5,121.8507721164632,-15.76764694951307,Natator depressus,Flatback Turtle,Female
Monique,2023-01-24,35,26.393,21.5,121.7903481682127,-15.7936569859854,Natator depressus,Flatback Turtle,Female
Monique,2023-01-25,50,26.272,21.5,121.8374407723441,-15.85382723808289,Natator depressus,Flatback Turtle,Female
Monique,2023-01-26,10,28.405,21.5,121.7752258577634,-15.87786855967473,Natator depressus,Flatback Turtle,Female
Monique,2023-01-27,50,26.467,21.5,121.7572302253753,-15.88974591259586,Natator depressus,Flatback Turtle,Female
Monique,2023-01-28,17.5,27.103,21.5,121.7651602029977,-15.81646900074286,Natator depressus,Flatback Turtle,Female
Monique,2023-01-29,22.5,28.271,21.5,121.7234899438402,-15.71793905498227,Natator depressus,Flatback Turtle,Female
Monique,2023-01-30,23,27.002,21.5,121.7683734204854,-15.68641241126304,Natator depressus,Flatback Turtle,Female
Monique,2023-01-31,10,28.935,21.5,121.7524043552361,-15.729619990437,Natator depressus,Flatback Turtle,Female
Monique,2023-02-01,25,28.122,21.5,121.7504100211447,-15.7282364493027,Natator depressus,Flatback Turtle,Female
Monique,2023-02-02,57,26.688,21.5,121.8471409665102,-15.66590412757324,Natator depressus,Flatback Turtle,Female
Monique,2023-02-03,5,29.624,21.5,121.8140764872514,-15.63147394392454,Natator depressus,Flatback Turtle,Female
Monique,2023-02-04,53.5,26.836,21.5,121.8507245589217,-15.48703794875992,Natator depressus,Flatback Turtle,Female
Monique,2023-02-05,22,27.914,21.5,121.8814047621333,-15.38314679328881,Natator depressus,Flatback Turtle,Female
Monique,2023-02-06,15.5,28.766,21.5,121.9454357288643,-15.51563500174172,Natator depressus,Flatback Turtle,Female
Monique,2023-02-07,12.5,28.502,21.5,122.0624743490761,-15.45983321134728,Natator depressus,Flatback Turtle,Female
Monique,2023-02-08,22,28.317,21.5,121.9666316107655,-15.42270875625505,Natator depressus,Flatback Turtle,Female
Monique,2023-02-09,2.5,28.577,21.5,121.8746694005138,-15.37170800880061,Natator depressus,Flatback Turtle,Female
Monique,2023-02-10,37.5,27.528,21.5,121.8655427509542,-15.28986388543262,Natator depressus,Flatback Turtle,Female
Monique,2023-02-11,42,26.913,21.5,121.9243145880002,-15.26526236671673,Natator depressus,Flatback Turtle,Female
Monique,2023-02-12,30,28.573,21.5,122.0079068844716,-15.40751666842374,Natator depressus,Flatback Turtle,Female
Monique,2023-02-13,35.5,28.547,21.5,121.9738623069706,-15.4207084581509,Natator depressus,Flatback Turtle,Female
Monique,2023-02-14,10,28.81,21.5,121.9596209682475,-15.41509495281746,Natator depressus,Flatback Turtle,Female
Monique,2023-02-15,59.5,27.297,21.5,121.7630131758366,-15.50402524267833,Natator depressus,Flatback Turtle,Female
Monique,2023-02-16,24,28.083,21.5,121.7610032059191,-15.74915797798449,Natator depressus,Flatback Turtle,Female
Monique,2023-02-17,22,28.118,21.5,121.7569876266778,-15.75328841043989,Natator depressus,Flatback Turtle,Female
Monique,2023-02-18,20,28.413,21.5,121.8013873992676,-15.77228772786066,Natator depressus,Flatback Turtle,Female
Monique,2023-02-19,30,28.994,21.5,121.7807217306219,-15.637509287315,Natator depressus,Flatback Turtle,Female
Monique,2023-02-20,10,29.25,21.5,121.8247500209432,-15.72432983563098,Natator depressus,Flatback Turtle,Female
Monique,2023-02-21,40,28.482,21.5,122.0280789603038,-15.72790020333342,Natator depressus,Flatback Turtle,Female
Monique,2023-02-22,20,28.745,21.5,122.1195107565171,-15.68624507094753,Natator depressus,Flatback Turtle,Female
Monique,2023-02-23,15,28.755,21.5,122.1319728830402,-15.73680339304181,Natator depressus,Flatback Turtle,Female
Monique,2023-02-24,2,28.648,21.5,122.0904906546507,-15.62252232756141,Natator depressus,Flatback Turtle,Female
Monique,2023-02-25,2,28.485,21.5,122.0824602334392,-15.61584035323803,Natator depressus,Flatback Turtle,Female
Monique,2023-02-26,25,27.85,21.5,121.9744992857589,-15.55448430098658,Natator depressus,Flatback Turtle,Female
Monique,2023-02-27,24,27.839,21.5,121.8825827146002,-15.48648185822718,Natator depressus,Flatback Turtle,Female
Monique,2023-02-28,40,27.311,21.5,121.8423225968169,-15.29243979096784,Natator depressus,Flatback Turtle,Female
Monique,2023-03-01,5,27.832,21.5,121.8573670577144,-15.31406910822562,Natator depressus,Flatback Turtle,Female
Monique,2023-03-02,24,28.073,21.5,121.8436728019878,-15.3592778536143,Natator depressus,Flatback Turtle,Female
Monique,2023-03-03,31.5,27.638,21.5,121.8394834186204,-15.35650401305853,Natator depressus,Flatback Turtle,Female
Monique,2023-03-04,36.5,27.405,21.5,121.8176137856637,-15.38381485088284,Natator depressus,Flatback Turtle,Female
Monique,2023-03-05,10,28.263,21.5,121.7133501988329,-15.37506037631293,Natator depressus,Flatback Turtle,Female
Monique,2023-03-06,20,28.344,21.5,121.7638232774641,-15.46291426250212,Natator depressus,Flatback Turtle,Female
Monique,2023-03-07,46.5,27.729,21.5,121.7711415631492,-15.43555461179195,Natator depressus,Flatback Turtle,Female
Monique,2023-03-08,59,27.396,21.5,121.8034811922946,-15.47558340738677,Natator depressus,Flatback Turtle,Female
Monique,2023-03-09,10,28.114,21.5,121.8419207036429,-15.43280259201647,Natator depressus,Flatback Turtle,Female
Monique,2023-03-10,35,27.421,21.5,121.8188660427375,-15.48670150817415,Natator depressus,Flatback Turtle,Female
Monique,2023-03-11,10,28.206,21.5,121.8634712718468,-15.53571590307358,Natator depressus,Flatback Turtle,Female
