source,date,common_name,species,longitude,latitude,rs_sst_interpolated
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-01-27,Common Coral Trout,Plectropomus leopardus,145.868767,-16.038383,28.180000000000064
Reef Life Survey: Global reef fish dataset,2011-02-01,Snapper,Chrysophrys auratus,152.16,-32.71,NA
Reef Life Survey: Global reef fish dataset,2011-02-26,Snapper,Chrysophrys auratus,152.16,-32.71,NA
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-03-12,Common Coral Trout,Plectropomus leopardus,149.37865,-19.769367,28.160000000000082
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-03-15,Common Coral Trout,Plectropomus leopardus,149.6951,-20.029433,27.750000000000057
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-03-18,Common Coral Trout,Plectropomus leopardus,150.16235,-19.800517,27.300000000000068
Reef Life Survey: Global reef fish dataset,2011-03-26,Spangled Emperor,Lethrinus nebulosus,151.3,-33.8,22.300000000000068
Reef Life Survey: Global reef fish dataset,2011-03-27,Snapper,Chrysophrys auratus,151.27,-33.83,NA
Reef Life Survey: Global reef fish dataset,2011-03-27,Snapper,Chrysophrys auratus,151.27,-33.82,NA
Reef Life Survey: Global reef fish dataset,2011-04-16,Snapper,Chrysophrys auratus,150.75,-35.12,NA
Reef Life Survey: Global reef fish dataset,2011-04-26,Snapper,Chrysophrys auratus,152.15,-32.71,NA
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-05-04,Common Coral Trout,Plectropomus leopardus,147.723833,-18.6558,26.720000000000027
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-05-05,Common Coral Trout,Plectropomus leopardus,147.670517,-18.811317,26.490000000000066
Gaia Guide,2011-05-15,Common Coral Trout,Plectropomus leopardus,145.459156,-14.67311,25.240000000000066
Reef Life Survey: Global reef fish dataset,2011-07-03,Snapper,Chrysophrys auratus,152.14,-32.72,NA
Reef Life Survey: Global reef fish dataset,2011-08-28,Snapper,Chrysophrys auratus,152.16,-32.71,NA
Lizard Island Research Station,2011-09-25,Common Coral Trout,Plectropomus leopardus,145.437516,-14.680198,23.550000000000068
Lizard Island Research Station,2011-09-25,Common Coral Trout,Plectropomus leopardus,145.450049,-14.646977,23.550000000000068
iNaturalist Australia,2011-09-29,Spangled Emperor,Lethrinus nebulosus,151.9148,-23.442298,22.010000000000048
Reef Life Survey: Global reef fish dataset,2011-10-09,Snapper,Chrysophrys auratus,152.22,-32.69,NA
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-17,Common Coral Trout,Plectropomus leopardus,150.596917,-21.0092,25.480000000000075
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-23,Common Coral Trout,Plectropomus leopardus,152.57005,-21.469633,25.62000000000006
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-23,Common Coral Trout,Plectropomus leopardus,152.5665,-21.469817,25.62000000000006
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-11-29,Common Coral Trout,Plectropomus leopardus,152.300283,-23.795367,25.35000000000008
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2011-12-08,Common Coral Trout,Plectropomus leopardus,151.915433,-23.1778,25.250000000000057
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-05,Common Coral Trout,Plectropomus leopardus,152.316733,-21.96115,27.02000000000004
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-06,Common Coral Trout,Plectropomus leopardus,152.471183,-21.999617,26.490000000000066
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-07,Common Coral Trout,Plectropomus leopardus,152.668567,-21.99795,26.57000000000005
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-08,Common Coral Trout,Plectropomus leopardus,152.659383,-21.985383,26.660000000000082
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-09,Spangled Emperor,Lethrinus nebulosus,152.6149,-21.950183,26.740000000000066
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-11,Common Coral Trout,Plectropomus leopardus,151.6446,-21.408533,27.31000000000006
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-17,Common Coral Trout,Plectropomus leopardus,150.92785,-20.963133,27.440000000000055
Reef Life Survey: Global reef fish dataset,2012-01-26,Snapper,Chrysophrys auratus,152.16,-32.71,NA
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-19,Common Coral Trout,Plectropomus leopardus,146.02995,-16.506817,29.200000000000045
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-20,Common Coral Trout,Plectropomus leopardus,146.112667,-16.6488,29.07000000000005
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-26,Common Coral Trout,Plectropomus leopardus,146.478083,-17.29065,29.180000000000064
